epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0651,2.81286,5.14186,1.62113,0,0,0,0,2.34538,4.8015,1.33477,3.528e-05,3.528e-05,3.528e-05
2,17.4319,2.48997,4.97746,1.40952,0,0,0,0,2.13365,4.68564,1.14332,7.62238e-05,7.62238e-05,7.62238e-05
3,20.8942,2.17204,4.74682,1.19732,0,0,0,0,1.9739,4.6391,1.07804,0.000116935,0.000116935,0.000116935
4,24.8324,2.02077,4.46439,1.12179,0,0,0,0,1.82848,4.59877,1.04325,0.000157413,0.000157413,0.000157413
5,30.2381,1.92153,4.13504,1.0584,0.00634,0.05594,0.04603,0.03582,1.73787,4.41043,1.01398,0.000197658,0.000197658,0.000197658
6,33.0369,1.87108,3.71729,1.03664,0.01921,0.1958,0.1161,0.07365,1.71958,4.22617,0.99187,0.00023767,0.00023767,0.00023767
7,35.5649,1.83088,3.28641,1.00729,0.02719,0.46154,0.17553,0.10379,1.72545,3.961,1.00309,0.00027745,0.00027745,0.00027745
8,38.199,1.85338,3.0432,0.99966,0.03151,0.53147,0.22715,0.1299,1.69618,3.80358,0.99149,0.000316997,0.000316997,0.000316997
9,41.0777,1.83497,2.85385,0.9816,0.40838,0.34266,0.28202,0.16455,1.66908,3.47579,0.98881,0.000356311,0.000356311,0.000356311
10,45.3795,1.81981,2.67412,0.99693,0.49148,0.24554,0.29022,0.16539,1.6594,3.36683,0.99327,0.000395392,0.000395392,0.000395392
11,49.4934,1.75688,2.42453,0.9876,0.69723,0.1452,0.31038,0.1736,1.63543,3.29953,0.99053,0.00043424,0.00043424,0.00043424
12,52.0353,1.84973,2.31388,0.99533,0.70914,0.15869,0.36961,0.20153,1.74429,3.0126,1.04619,0.000472855,0.000472855,0.000472855
13,54.6608,1.68812,2.10304,0.98389,0.66928,0.18836,0.41386,0.23765,1.65147,2.90834,1.01546,0.000511237,0.000511237,0.000511237
14,57.2297,1.76484,1.95126,0.99074,0.67599,0.16813,0.41205,0.21995,1.67163,2.914,1.00863,0.000549387,0.000549387,0.000549387
15,60.4102,1.66524,1.89435,0.9839,0.61959,0.24886,0.42442,0.23806,1.71535,2.64978,1.03544,0.000564715,0.000564715,0.000564715
16,65.0734,1.70113,1.74725,0.97894,0.51872,0.49378,0.50427,0.29619,1.55482,2.08429,0.98746,0.000563052,0.000563052,0.000563052
17,67.8869,1.51613,1.6567,0.97425,0.53756,0.55422,0.54215,0.32067,1.50819,1.91387,0.9689,0.000561389,0.000561389,0.000561389
18,70.7218,1.60864,1.64254,0.95637,0.59528,0.59941,0.64099,0.35536,1.57184,1.67766,0.98243,0.000559726,0.000559726,0.000559726
19,73.4175,1.47936,1.48039,0.94758,0.78098,0.56107,0.68638,0.41465,1.45604,1.52187,0.95519,0.000558062,0.000558062,0.000558062
20,76.4883,1.53217,1.50504,0.94912,0.68278,0.62152,0.69496,0.41205,1.47177,1.4812,0.96468,0.000556399,0.000556399,0.000556399
21,80.7292,1.512,1.40544,0.93649,0.69463,0.62923,0.7167,0.3942,1.55628,1.47732,0.98368,0.000554736,0.000554736,0.000554736
22,84.7965,1.51772,1.3367,0.94437,0.73169,0.6778,0.77796,0.44974,1.4151,1.37654,0.95514,0.000553073,0.000553073,0.000553073
23,87.4525,1.49141,1.29468,0.95858,0.71627,0.69067,0.74377,0.42774,1.54378,1.4014,0.97999,0.00055141,0.00055141,0.00055141
24,89.9027,1.55556,1.34028,0.98786,0.71119,0.7157,0.81802,0.46437,1.44575,1.3062,0.95633,0.000549746,0.000549746,0.000549746
25,92.4562,1.48948,1.22066,0.95508,0.7498,0.7229,0.83554,0.45933,1.5146,1.29323,0.97049,0.000548083,0.000548083,0.000548083
26,95.9113,1.48182,1.21224,0.94955,0.83515,0.79569,0.85662,0.49861,1.41061,1.19607,0.94387,0.00054642,0.00054642,0.00054642
27,100.597,1.45052,1.13574,0.9458,0.85373,0.83821,0.90141,0.53476,1.33026,1.16206,0.92298,0.000544757,0.000544757,0.000544757
28,103.785,1.42909,1.09851,0.9232,0.82469,0.83454,0.88442,0.45278,1.60482,1.16443,0.97299,0.000543094,0.000543094,0.000543094
29,106.193,1.41098,1.06827,0.92543,0.86231,0.84978,0.90344,0.47704,1.53559,1.13127,0.95943,0.00054143,0.00054143,0.00054143
30,108.866,1.44385,1.07515,0.94222,0.89847,0.84761,0.92782,0.55973,1.30881,1.10449,0.91557,0.000539767,0.000539767,0.000539767
31,111.315,1.36287,1.01753,0.9347,0.91641,0.86158,0.94151,0.54244,1.3849,1.06526,0.9328,0.000538104,0.000538104,0.000538104
32,115.511,1.37021,1.01583,0.92121,0.91677,0.87843,0.95155,0.57776,1.32004,1.0479,0.92344,0.000536441,0.000536441,0.000536441
33,119.966,1.36902,0.99819,0.92359,0.93031,0.90408,0.95362,0.57298,1.3372,1.05843,0.92486,0.000534778,0.000534778,0.000534778
34,122.556,1.35243,0.95987,0.91648,0.91539,0.89377,0.95499,0.58541,1.30711,0.95607,0.91226,0.000533114,0.000533114,0.000533114
35,125.193,1.31979,0.94268,0.91214,0.92329,0.90383,0.96049,0.55507,1.42374,0.89534,0.93905,0.000531451,0.000531451,0.000531451
36,127.732,1.34218,0.95172,0.92284,0.935,0.92399,0.96781,0.58419,1.3397,0.87387,0.92207,0.000529788,0.000529788,0.000529788
37,130.736,1.30836,0.91548,0.90947,0.9265,0.91459,0.97415,0.59692,1.30382,0.89755,0.91606,0.000528125,0.000528125,0.000528125
38,135.417,1.35583,0.94801,0.92086,0.95327,0.89074,0.96905,0.53593,1.5412,0.96279,0.96106,0.000526462,0.000526462,0.000526462
39,138.907,1.37755,0.91805,0.92284,0.94032,0.92277,0.97857,0.56278,1.43698,0.8924,0.94312,0.000524798,0.000524798,0.000524798
40,141.535,1.28338,0.87979,0.91319,0.95468,0.95207,0.98202,0.6059,1.26498,0.82398,0.90748,0.000523135,0.000523135,0.000523135
41,144.126,1.29535,0.87041,0.91285,0.95043,0.92775,0.97991,0.59338,1.29361,0.84226,0.91234,0.000521472,0.000521472,0.000521472
42,146.85,1.28357,0.88794,0.91558,0.94723,0.93402,0.98284,0.58389,1.33879,0.78047,0.9246,0.000519809,0.000519809,0.000519809
43,150.967,1.27785,0.85659,0.9005,0.97252,0.93793,0.98477,0.60663,1.26057,0.73941,0.91218,0.000518146,0.000518146,0.000518146
