epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,150.055,1.28019,0.88217,0.91691,0.94072,0.93922,0.97717,0.59648,1.27646,0.82536,0.91059,0.000468665,0.000468665,0.000468665
43,154.713,1.27765,0.86324,0.90105,0.95394,0.94861,0.98283,0.6162,1.26736,0.75818,0.9104,0.000465755,0.000465755,0.000465755
44,157.498,1.26182,0.84216,0.90703,0.93533,0.96328,0.97834,0.60059,1.26866,0.8478,0.91008,0.000462844,0.000462844,0.000462844
45,160.089,1.25456,0.85391,0.91825,0.93054,0.9525,0.97916,0.60802,1.2755,0.85783,0.9113,0.000459934,0.000459934,0.000459934
46,162.621,1.26651,0.84256,0.91297,0.95203,0.9559,0.98445,0.60804,1.32171,0.77142,0.92385,0.000457023,0.000457023,0.000457023
47,165.613,1.30818,0.86772,0.9056,0.94675,0.95819,0.98926,0.61377,1.2754,0.75998,0.91238,0.000454112,0.000454112,0.000454112
48,170.002,1.26274,0.81365,0.90472,0.9479,0.95628,0.98846,0.61053,1.28944,0.76413,0.90988,0.000451202,0.000451202,0.000451202
49,173.888,1.26523,0.87164,0.90662,0.94802,0.96791,0.98846,0.61658,1.2881,0.75627,0.9105,0.000448291,0.000448291,0.000448291
50,176.587,1.23812,0.86284,0.89985,0.937,0.98386,0.98657,0.61665,1.24628,0.72598,0.90664,0.000445381,0.000445381,0.000445381
51,179.309,1.25529,0.79747,0.88677,0.95983,0.95445,0.98973,0.62055,1.2556,0.71629,0.90885,0.00044247,0.00044247,0.00044247
52,182.01,1.23557,0.79532,0.89303,0.97057,0.96155,0.98949,0.63298,1.23475,0.71908,0.90383,0.000439559,0.000439559,0.000439559
53,185.335,1.28018,0.81594,0.91943,0.96976,0.97669,0.99032,0.62872,1.22689,0.72695,0.89874,0.000436649,0.000436649,0.000436649
54,190.03,1.2226,0.79656,0.89569,0.96355,0.97826,0.99188,0.62521,1.2365,0.70216,0.89561,0.000433738,0.000433738,0.000433738
55,192.932,1.25851,0.78508,0.9026,0.9577,0.97804,0.99226,0.62254,1.26662,0.69251,0.90711,0.000430828,0.000430828,0.000430828
56,195.491,1.27212,0.7892,0.90383,0.96793,0.97113,0.99278,0.60416,1.30714,0.7166,0.91482,0.000427917,0.000427917,0.000427917
57,198.072,1.23168,0.79749,0.90155,0.95981,0.96853,0.99385,0.62059,1.24558,0.71446,0.90556,0.000425006,0.000425006,0.000425006
58,200.993,1.31217,0.79285,0.91223,0.97193,0.95563,0.98144,0.54808,1.40163,0.72262,0.93486,0.000422096,0.000422096,0.000422096
59,205.156,1.33648,0.80805,0.90708,0.96519,0.97696,0.99442,0.62995,1.25204,0.69528,0.90619,0.000419185,0.000419185,0.000419185
60,209.376,1.24853,0.80798,0.89283,0.95315,0.96755,0.995,0.6113,1.36967,0.70256,0.92999,0.000416275,0.000416275,0.000416275
61,211.963,1.25825,0.77474,0.89558,0.94797,0.97027,0.99442,0.62022,1.29334,0.67473,0.91467,0.000413364,0.000413364,0.000413364
62,214.693,1.19007,0.7563,0.88953,0.96316,0.97267,0.995,0.63441,1.23012,0.65079,0.90051,0.000410453,0.000410453,0.000410453
63,217.281,1.18652,0.75663,0.89462,0.96423,0.9737,0.99442,0.62632,1.26886,0.6787,0.90449,0.000407543,0.000407543,0.000407543
64,220.081,1.23201,0.77073,0.89602,0.97402,0.98457,0.99442,0.63441,1.23562,0.68763,0.8992,0.000404632,0.000404632,0.000404632
65,225.258,1.18165,0.76771,0.87912,0.97678,0.98792,0.99442,0.62968,1.26234,0.6845,0.90548,0.000401722,0.000401722,0.000401722
66,228.841,1.2245,0.76992,0.89526,0.97318,0.99036,0.99393,0.60756,1.38047,0.6728,0.93383,0.000398811,0.000398811,0.000398811
67,231.54,1.2945,0.79502,0.90566,0.96722,0.97868,0.98593,0.61656,1.26338,0.65791,0.90943,0.0003959,0.0003959,0.0003959
68,234.119,1.26889,0.77189,0.90812,0.96398,0.99168,0.99209,0.62944,1.23726,0.6665,0.89985,0.00039299,0.00039299,0.00039299
69,236.842,1.18,0.74905,0.88218,0.97257,0.9858,0.99231,0.62693,1.243,0.66401,0.90114,0.000390079,0.000390079,0.000390079
70,240.749,1.21369,0.75022,0.89596,0.97337,0.96869,0.99284,0.60928,1.30379,0.64673,0.9159,0.000387169,0.000387169,0.000387169
71,245.133,1.17568,0.74613,0.87611,0.97283,0.96889,0.99352,0.62448,1.21219,0.62736,0.89827,0.000384258,0.000384258,0.000384258
72,247.942,1.17544,0.73412,0.87907,0.97226,0.97308,0.995,0.63525,1.20876,0.63215,0.89619,0.000381347,0.000381347,0.000381347
73,250.519,1.20603,0.75724,0.89353,0.96626,0.98182,0.995,0.63507,1.24828,0.64226,0.90212,0.000378437,0.000378437,0.000378437
74,253.152,1.17274,0.73301,0.88215,0.97643,0.98501,0.99442,0.63695,1.22115,0.64494,0.8966,0.000375526,0.000375526,0.000375526
75,256.335,1.17998,0.75546,0.89322,0.97479,0.98681,0.99442,0.63432,1.20815,0.62641,0.89475,0.000372616,0.000372616,0.000372616
76,260.774,1.16387,0.72068,0.88978,0.97147,0.98642,0.995,0.63977,1.19945,0.62258,0.89151,0.000369705,0.000369705,0.000369705
77,264.501,1.14163,0.71822,0.88079,0.97698,0.98047,0.995,0.63236,1.21882,0.62955,0.89409,0.000366794,0.000366794,0.000366794
78,267.018,1.15414,0.73715,0.88767,0.97219,0.96956,0.99442,0.63911,1.20866,0.65089,0.88985,0.000363884,0.000363884,0.000363884
79,269.711,1.19036,0.73775,0.8762,0.96737,0.99165,0.995,0.64365,1.20966,0.644,0.89355,0.000360973,0.000360973,0.000360973
80,272.335,1.138,0.70537,0.8853,0.97587,0.98486,0.995,0.63868,1.22288,0.63293,0.8984,0.000358063,0.000358063,0.000358063
81,275.784,1.1575,0.71219,0.89687,0.98106,0.98136,0.995,0.63573,1.20576,0.62478,0.89494,0.000355152,0.000355152,0.000355152
82,280.64,1.1668,0.70635,0.88698,0.98112,0.97056,0.99442,0.633,1.22002,0.64406,0.89984,0.000352241,0.000352241,0.000352241
